,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,DURATION
129,SOUTHERN,2021-05-02,2022-05-06,Equipment Use,5365.902,371
154,TIVY,2021-09-07,2022-09-07,Equipment Use,25.03143,367
270,FORBIDDEN,2013-05-09,2013-10-18,Lightning,198.145,164
405,TRAIL,2017-08-12,2018-01-15,Lightning,31.87081,158
291,ANTELOPE,2021-08-01,2022-01-03,Lightning,145631.8,157
516,SAW,2017-03-08,2017-08-08,Vehicle,53.36273,155
592,ABNEY,2017-08-10,2018-01-09,Lightning,32893.26,154
395,ROWELL,2017-08-20,2018-01-15,Lightning,48.382,150
230,SPRINGS,2019-07-26,2019-12-18,Lightning,6614.634,147
396,SCHAEFFER,2017-06-24,2017-11-15,Lightning,15833.21,146
181,MEADOW,2015-02-22,2015-07-15,Debris,22.062,145
243,SADDLE,2015-06-09,2015-10-30,Lightning,1542.967,145
147,BIG FIVE,2015-06-17,2015-11-02,Lightning,264.5698,140
235,SHOTGUN,2020-08-19,2021-01-04,Lightning,840.8506,140
237,CASTLE,2020-08-19,2021-01-04,Lightning,170647.9,140
377,DOUGLAS,2017-07-03,2017-11-16,Lightning,310.7712,138
301,RATTLESNAKE,2020-08-16,2020-12-28,Lightning,8422.869,136
565,NORTH GUARD,2017-07-18,2017-11-27,Lightning,8.235841,134
299,MORAINE,2020-08-21,2020-12-29,Lightning,1316.038,132
154,WHITE CASCADE,2015-07-03,2015-11-09,Lightning,50.73343,131
483,RIMROCK,2017-07-24,2017-11-29,Lightning,1492.398,130
205,CABIN SEQ,2015-07-19,2015-11-23,Lightning,6996.186,129
271,LAVA,2021-06-25,2021-10-26,Lightning,26328.9,125
130,RIDGE,2020-09-14,2021-01-14,Vehicle,17.10545,124
209,REDWOOD,2023-08-15,2023-12-14,Lightning,2248.449,123
555,EMPIRE,2017-07-31,2017-11-27,Lightning,8577.552,121
229,COW,2019-07-25,2019-11-21,Lightning,1875.988,121
275,SALT,2021-06-30,2021-10-26,Equipment Use,12599.14,120
294,BLUEJAY,2020-07-25,2020-11-19,Lightning,6922.014,119
298,WALKERS,2021-08-15,2021-12-08,Lightning,8778.784,117
281,AVALANCHE,2022-07-18,2022-11-10,Lightning,28.92503,117
288,RED SALMON COMPLEX,2020-07-27,2020-11-19,Lightning,143836.4,117
353,TAMARACK,2021-07-04,2021-10-26,Lightning,67054.51,116
283,DEXTER,2021-07-12,2021-11-01,Lightning,2967.832,114
263,BRODER,2019-08-08,2019-11-25,Lightning,328.0544,111
593,KNOX,2017-08-11,2017-11-28,Lightning,492.5997,111
236,NORTH COMPLEX,2020-08-17,2020-12-03,Lightning,318797.3,110
486,APPLE,2020-07-31,2020-11-15,Equipment Use,33235.8,109
294,HOCKETT FIRE,2013-07-23,2013-11-07,Lightning,48.82448,109
289,RED,2019-08-14,2019-11-27,Lightning,36.58359,107
151,MIDDLE,2015-07-27,2015-11-08,Lightning,324.7684,106
367,DIXIE,2021-07-14,2021-10-25,Powerline,963405.4,105
303,WOLF,2020-08-10,2020-11-19,Lightning,2057.296,103
370,FORK,2017-08-07,2017-11-15,Lightning,3372.92,102
253,HAYNES,2019-06-16,2019-09-23,Lightning,23.59244,101
174,ROUGH,2015-07-31,2015-11-06,Lightning,151546.8,100
286,SUMMIT,2021-07-20,2021-10-26,Lightning,22.27062,100
401,GARDEN,2017-07-30,2017-11-04,Equipment Use,1282.467,99
127,KNP Complex,2021-09-10,2021-12-16,Lightning,88257.13,99
440,GARDEN,2017-08-09,2017-11-13,Lightning,265.481,98
308,MONUMENT,2021-07-31,2021-11-03,Lightning,223107.9,97
444,MARY,2017-08-10,2017-11-13,Lightning,91.3345,97
304,WOODWARD,2020-08-18,2020-11-20,Lightning,4901.727,96
279,RED,2022-08-04,2022-11-06,Lightning,8432.419,96
446,WALLOW,2017-08-11,2017-11-13,Lightning,63785.07,96
190,NICKOWITZ,2015-08-01,2015-11-02,Lightning,7576.045,95
441,GRIZZLY,2017-08-12,2017-11-13,Lightning,90.6049,95
586,STARR KING,2017-08-02,2017-11-03,Lightning,56.16541,95
191,BEAR,2015-07-31,2015-10-31,Lightning,11616.88,94
127,DERSCH,2020-10-25,2021-01-25,Arson,133.2995,94
230,JOHNSON,2015-07-30,2015-10-30,Lightning,17821.11,94
222,SHIELL,2015-07-30,2015-10-30,Lightning,15390.65,94
221,PEAK,2015-07-30,2015-10-30,Lightning,6273.949,94
197,EAST,2015-07-30,2015-10-30,Lightning,1530.955,94
218,BLUE,2015-07-30,2015-10-30,Lightning,2828.028,94
582,PORCUPINE,2017-08-02,2017-11-02,Lightning,10.51803,94
204,CASTLE 1,2015-07-30,2015-10-30,Lightning,662.1591,94
196,GROVES,2015-07-30,2015-10-30,Lightning,6803.031,94
219,RAIL,2015-07-30,2015-10-30,Lightning,8669.771,94
202,CHANCE,2015-07-30,2015-10-30,Lightning,160.0666,94
192,COON,2015-08-01,2015-10-31,Lightning,5682.627,93
195,PEAK,2015-08-01,2015-10-31,Lightning,11524.46,93
280,RODGERS,2022-08-08,2022-11-06,Lightning,2839.684,92
379,WILLOW ,2017-08-18,2017-11-16,Lightning,134.3042,92
275,SNOW PEAK,2013-07-20,2013-10-18,Lightning,0.07901904,92
375,MCCORMICK,2017-08-18,2017-11-16,Lightning,4423.208,92
262,SCHAEFFER,2019-09-08,2019-12-06,Lightning,287.1784,91
408,BUTTE,2017-08-07,2017-11-04,Lightning,611.2015,91
236,LIME,2019-09-05,2019-12-03,Lightning,1873.937,91
269,MIDDLE,2019-09-05,2019-12-03,Lightning,1339.595,91
297,HORSE,2020-08-23,2020-11-19,Lightning,30.1925,90
288,MCFARLAND,2021-07-30,2021-10-26,Lightning,122447.7,90
248,LONE,2019-09-05,2019-12-02,Lightning,5737.16,90
117,SENTINEL,2021-07-29,2021-10-25,Lightning,12.4895,90
271,SOUTH,2019-09-05,2019-12-02,Lightning,5333.991,90
284,AUGUST COMPLEX,2020-08-16,2020-11-11,Lightning,1032700.0,89
309,MCCASH,2021-08-01,2021-10-27,Lightning,94970.47,89
368,RIVER COMPLEX,2021-07-31,2021-10-25,Lightning,199354.1,88
300,NORTH WHIZZ DOME,2020-08-25,2020-11-19,Lightning,199.9823,88
172,JAKES,2019-09-05,2019-11-30,Lightning,8.921084,88
278,WASHBURN,2022-07-07,2022-09-30,Arson,4886.124,87
276,RODGERS,2013-07-25,2013-10-18,Lightning,0.07918327,87
387,FRANK,2017-07-26,2017-10-16,Lightning,27.20529,84
393,UKONOM,2017-07-25,2017-10-15,Lightning,4240.974,84
384,BURNEY,2017-07-26,2017-10-16,Lightning,1643.643,84
590,SOUTH FORK,2017-08-13,2017-11-03,Lightning,7560.077,84
481,ROCK2,2017-07-28,2017-10-17,Lightning,16.36759,83
228,TABOOSE,2019-09-04,2019-11-23,Lightning,10267.63,82
488,DIAMOND4,2017-07-29,2017-10-17,Lightning,18.71504,82
184,JOHNSON,2013-08-18,2013-11-04,Lightning,90.90901,80
186,RIDGE/HEIGHTS,2013-08-18,2013-11-04,Lightning,335.9537,80
182,HOUGH COMPLEX,2013-08-18,2013-11-04,Lightning,21.56635,80
282,SUMMIT,2022-08-03,2022-10-19,Lightning,1394.44,79
152,CATHEDRAL,2015-08-02,2015-10-18,Lightning,40.12074,79
292,WINDY PEAK,2013-08-23,2013-11-07,Lightning,681.3786,78
277,WEST,2019-09-17,2019-12-01,Lightning,88.80357,77
231,KERLIN,2015-07-30,2015-10-10,Lightning,500.9492,74
427,EUREKA,2017-09-05,2017-11-15,Lightning,446.1815,73
291,CHAGOOPA,2013-08-18,2013-10-28,Lightning,62.14532,73
13,GOBBLERS,2013-08-19,2013-10-29,Lightning,406.6946,73
410,COW,2017-09-07,2017-11-17,Lightning,25.92339,73
232,PELLETREAU,2015-07-30,2015-10-09,Lightning,4109.539,73
406,CROWN,2017-09-07,2017-11-17,Lightning,145.1785,73
281,MOSQUITO,2023-08-15,2023-10-25,Lightning,34188.45,73
378,BUMMERS,2017-09-11,2017-11-20,Lightning,510.1094,72
268,PEARCH,2023-08-17,2023-10-25,Lightning,12152.45,71
272,ELLIOT,2023-08-15,2023-10-23,Lightning,13875.25,71
149,DARK,2015-07-09,2015-09-16,Lightning,37.99809,71
231,JORDAN,2019-06-09,2019-08-16,Lightning,590.9153,70
235,KIDDER 2,2019-09-05,2019-11-12,Lightning,226.8735,70
242,RIM,2013-08-17,2013-10-24,Campfire,256175.5,70
150,TENAYA,2015-07-09,2015-09-15,Lightning,408.9148,70
386,FORKS,2017-07-25,2017-10-01,Lightning,242.4736,70
442,ISLAND,2017-06-26,2017-09-01,Lightning,1594.034,69
388,HAYPRESS,2017-08-10,2017-10-16,Lightning,21317.93,69
215,BIG FOOT,2015-07-30,2015-10-05,Lightning,25.13739,69
214,DOG,2015-07-30,2015-10-05,Lightning,3276.482,69
217,TELEPHONE,2015-07-30,2015-10-05,Lightning,54.82918,69
439,FOURTH,2017-09-07,2017-11-13,Lightning,24.317,69
57,4-2 CAHTO,2015-07-30,2015-10-04,Lightning,15.4554,68
136,WHITE,2013-05-27,2013-08-01,Campfire,1912.05,68
207,DEVIL,2023-08-15,2023-10-19,Lightning,12.40059,67
383,TWIN ,2017-09-18,2017-11-21,Lightning,14.96456,66
24,3-19,2020-08-18,2020-10-21,Lightning,65.00854,66
549,RIBBON,2017-09-26,2017-11-27,Lightning,1.385606,64
280,MEADOW,2019-06-11,2019-08-12,Lightning,46.80063,64
340,WINDY,2021-09-10,2021-11-11,Lightning,97528.27,64
233,BUTLER,2013-07-31,2013-10-01,Arson,22444.86,64
407,QUARTZ,2017-08-07,2017-10-08,Lightning,79.84794,64
285,CAPLES,2019-10-10,2019-12-10,Debris,3441.766,63
451,LONG,2017-09-12,2017-11-12,Lightning,0.8926889,63
510,PONDEROSA,2017-08-29,2017-10-28,Arson,4015.732,62
290,SKAGWAY FIRE,2013-07-22,2013-09-20,Lightning,0.1801186,62
246,FORK,2019-08-30,2019-10-29,Lightning,71.18899,62
254,HENTHORNE,2019-09-05,2019-10-31,Lightning,244.665,58
220,BARNES,2022-09-07,2022-11-01,Lightning,5840.575,57
206,BRIDGE RIDGE,2023-08-25,2023-10-19,Lightning,16.54212,57
276,HENRY,2021-06-25,2021-08-18,Lightning,36.14811,56
246,FLAT,2020-06-30,2020-08-22,Vehicle,62.04057,55
234,CORRAL,2013-08-10,2013-10-02,Lightning,12541.42,55
550,YOSEMITE CREEK,2017-08-03,2017-09-24,Lightning,3.495089,54
398,CALDWELL,2017-09-01,2017-10-23,Lightning,1321.26,54
436,CEDAR,2017-08-08,2017-09-29,Lightning,9129.377,54
310,ALISAL,2021-10-11,2021-12-01,Lightning,16953.24,53
113,COLD,2021-08-13,2021-10-03,Lightning,6.576556,53
275,MARLOW,2023-08-15,2023-10-03,Lightning,1997.206,51
239,UKONOM,2019-09-05,2019-10-24,Lightning,12.07238,51
445,OAK,2017-08-11,2017-09-29,Lightning,91125.33,51
448,TABLE,2017-09-08,2017-10-27,Lightning,426.7024,51
124,LUKENS,2021-07-01,2021-08-19,Lightning,918.1719,51
414,BUCK,2017-09-12,2017-10-30,Lightning,13357.28,50
223,ASPEN,2013-07-22,2013-09-08,Lightning,22937.52,50
208,PIKA,2023-06-29,2023-08-15,Lightning,841.0,49
293,WILLOW CREEK,2013-09-11,2013-10-28,Lightning,0.09664457,49
486,CLARK,2017-07-26,2017-09-11,Lightning,254.8858,49
278,INDIAN CANYON,2015-07-03,2015-08-18,Lightning,4.131937,48
120,COUNTY LINE,2021-07-01,2021-08-15,Lightning,224.9265,47
137,HILLS,2020-08-15,2020-09-27,Lightning,2120.98,45
485,COVE,2017-07-25,2017-09-06,Lightning,30890.86,45
274,UFISH,2023-08-16,2023-09-28,Lightning,7850.58,45
146,BIG CREEK,2015-07-29,2015-09-09,Debris,204.3927,44
269,LET ER-BUCK,2023-08-17,2023-09-28,Lightning,95.91678,44
13,JONES,2020-08-17,2020-09-28,Lightning,705.546,44
295,CALDWELL,2020-07-22,2020-09-01,Lightning,81224.68,43
585,BLUE,2017-08-02,2017-09-12,Lightning,0.157016,43
563,JAY,2017-08-02,2017-09-12,Lightning,0.157021,43
264,LOST,2019-06-18,2019-07-29,Lightning,121.2937,43
475,1-7,2020-08-17,2020-09-26,Lightning,174.789,42
250,BLOCKSBURG 1-58,2015-07-30,2015-09-08,Lightning,283.831,42
251,DOBBYN 1-57,2015-07-30,2015-09-08,Lightning,787.353,42
252,STEELHEAD 1-54,2015-07-30,2015-09-08,Lightning,1403.444,42
249,BLUFORD 1-55,2015-07-30,2015-09-08,Lightning,202.7018,42
248,PINE 1-44,2015-07-30,2015-09-08,Lightning,1773.247,42
253,WINCHESTER 1-47,2015-07-30,2015-09-08,Lightning,147.2519,42
254,WILDCAT 1-51,2015-07-30,2015-09-08,Lightning,283.2199,42
517,MILLER,2017-08-31,2017-10-09,Powerline,33.77041,41
21,CZU LIGHTNING COMPLEX,2020-08-16,2020-09-24,Lightning,86553.46,41
579,KNOB 91,2017-08-04,2017-09-12,Lightning,0.3168842,41
399,LION,2017-09-25,2017-11-02,Lightning,18913.58,40
200,LASSICS,2015-07-30,2015-09-06,Lightning,18192.03,40
229,ALLEN,2020-07-21,2020-08-27,Lightning,1034.795,39
179,TANNER,2015-01-24,2015-03-01,Debris,44.545,38
365,GLACIER NORTH,2021-07-15,2021-08-20,Lightning,37.2558,38
180,MCOULLOH,2015-01-24,2015-03-01,Debris,35.28005,38
261,BALD,2019-06-17,2019-07-22,Lightning,22.09721,37
594,GOODALE,2017-07-24,2017-08-28,Lightning,0.1962595,37
267,HANCOCK,2023-08-21,2023-09-25,Lightning,1728.136,37
247,GOOSE2,2019-07-17,2019-08-21,Lightning,132.0889,37
194,SUMMIT,2015-08-02,2015-09-05,Lightning,639.9178,36
193,FEEDER,2015-08-02,2015-09-05,Lightning,897.9925,36
9,WILLOWS,2020-09-09,2020-10-13,Arson,1309.09,36
605,LAKE,2017-07-27,2017-08-30,Lightning,4665.485,36
198,PICKETT,2015-07-30,2015-09-01,Lightning,11012.8,35
199,GOBBLER,2015-07-30,2015-09-01,Lightning,8305.019,35
116,PORCUPINE,2021-07-02,2021-08-04,Lightning,11.19756,35
512,SODA,2017-09-28,2017-10-30,Lightning,147.0237,34
203,CORRAL,2013-07-24,2013-08-24,Lightning,14.3679,33
280,LONE PINE,2023-08-15,2023-09-15,Lightning,1684.73,33
238,YORK,2015-07-30,2015-08-30,Lightning,243.6706,33
237,MILL,2015-07-30,2015-08-30,Lightning,72.60194,33
68,WARTHAN,2019-09-01,2019-10-02,Smoking,12.20176,33
181,FLEA,2013-10-27,2013-11-27,Lightning,39.54399,33
105,OAK,2022-08-15,2022-09-15,Vehicle,24.02003,33
515,BLOCKSBURG,2017-03-08,2017-04-08,Powerline,33.345,33
237,LUMGREY,2019-06-17,2019-07-17,Equipment Use,186.4314,32
277,MONO,2015-10-31,2015-11-30,Lightning,0.1008094,32
219,HENNESSEY,2020-08-17,2020-09-16,Lightning,305351.9,32
270,RAMSHORN,2019-09-05,2019-10-05,Lightning,286.9583,32
553,BENSON PASS,2017-08-03,2017-09-01,Lightning,0.07913961,31
296,DOME,2020-08-15,2020-09-12,Lightning,44211.25,30
229,FISH,2013-08-23,2013-09-20,Lightning,2049.495,30
505,INDIAN,2017-08-03,2017-08-31,Lightning,2294.247,30
509,CHEROKEE,2017-10-08,2017-11-05,Powerline,8415.803,30
288,RICHARDSON,2013-09-21,2013-10-18,Lightning,0.07906692,29
511,WALL,2017-07-07,2017-08-03,Equipment Use,6028.49,29
205,LOST,2023-08-15,2023-09-11,Lightning,739.8182,29
286,LINE,2013-09-21,2013-10-18,Lightning,0.07933598,29
287,MCSWAIN,2013-09-21,2013-10-18,Lightning,0.07934421,29
283,ASPEN,2022-09-04,2022-09-30,Arson,25.89259,28
572,PORCUPINE CAMPGROUND,2017-09-11,2017-10-07,Lightning,0.07934111,28
170,RESERVOIR,2015-07-21,2015-08-16,Lightning,25.06381,28
329,W-5 COLD SPRINGS,2020-08-18,2020-09-13,Lightning,84817.6,28
174,SCU COMPLEX,2020-08-16,2020-09-11,Lightning,396824.5,28
294,WILLOW,2015-07-25,2015-08-20,Playing with fire,5701.341,28
66,SALMON COMPLEX,2013-07-31,2013-08-25,Arson,14785.88,27
218,WALBRIDGE,2020-08-17,2020-09-11,Lightning,55208.94,27
557,WOLFE,2017-09-11,2017-10-06,Lightning,0.07928222,27
148,BURNT,2015-10-20,2015-11-13,Lightning,160.7299,26
474,1-8,2020-08-17,2020-09-10,Lightning,92.39507,26
473,2-26,2020-08-17,2020-09-10,Lightning,27.64174,26
472,2-30,2020-08-17,2020-09-10,Lightning,6.258504,26
471,1-11,2020-08-17,2020-09-10,Lightning,12.20918,26
470,2-28,2020-08-17,2020-09-10,Lightning,21.37203,26
17,5-4 POTTERS ,2020-08-17,2020-09-10,Lightning,925.4019,26
18,5-6 CASCADE CREEK,2020-08-17,2020-09-10,Lightning,260.1756,26
265,LAKE,2023-08-15,2023-09-07,Lightning,200.2064,25
228,DALTON ,2020-07-23,2020-08-15,Lightning,1367.078,25
274,ROCK,2019-11-03,2019-11-26,Campfire,9.93289,25
212,PROSPECT,2015-07-30,2015-08-22,Lightning,24.27882,25
340,SLINKARD,2017-08-29,2017-09-21,Lightning,8923.495,25
56,CLUB,2015-04-02,2015-04-25,Debris,111.9445,25
282,HEAD,2023-08-15,2023-09-07,Lightning,6953.805,25
185,KEDDIE,2013-08-18,2013-09-09,Lightning,20.06105,24
99,BERRY,2017-09-12,2017-10-04,Lightning,994.0728,24
119,SWEDES,2015-07-25,2015-08-16,Arson,390.0219,24
499,QUAKING,2017-07-26,2017-08-17,Lightning,15.96121,24
443,LITTLE BUCK,2017-09-07,2017-09-29,Lightning,113.9625,24
135,TASSAJARA,2013-07-17,2013-08-07,Campfire,212.4645,23
232,SHEEP,2020-08-17,2020-09-07,Lightning,29541.14,23
513,HONEY,2017-10-09,2017-10-30,Powerline,153.5117,23
224,CARSTENS,2013-06-16,2013-07-07,Campfire,1707.613,23
204,GIRARD,2013-07-26,2013-08-15,Lightning,5.95861,22
264,SCOTT,2023-08-15,2023-09-04,Lightning,1935.952,22
144,WASHINGTON,2015-06-19,2015-07-09,Lightning,17779.54,22
145,PATTERSON,2019-08-01,2019-08-21,Arson,139.2007,22
95,GABRIEL,2013-07-30,2013-08-18,Equipment Use,3.933502,21
492,BOLES,2017-08-23,2017-09-11,Lightning,313.2321,21
342,WILLOW VALLEY,2021-08-12,2021-08-31,Lightning,823.8505,21
250,MCGINTY,2019-08-29,2019-09-17,Lightning,26.80899,21
241,MINERS,2015-07-30,2015-08-18,Lightning,173.9841,21
183,HUNT,2013-08-18,2013-09-06,Lightning,20.3914,21
491,JONES,2017-08-23,2017-09-11,Lightning,281.273,21
233,PATTISON,2015-07-30,2015-08-18,Lightning,12916.57,21
301,CAVE,2019-11-25,2019-12-14,Arson,2597.293,21
213,RASPBERRY,2015-07-30,2015-08-18,Lightning,39.76297,21
154,CARMEL,2020-08-18,2020-09-06,Vehicle,6996.944,21
216,DEER,2015-07-30,2015-08-18,Lightning,8.535203,21
163,RIVER,2020-08-16,2020-09-04,Lightning,50213.82,21
255,EAST,2019-09-05,2019-09-23,Lightning,400.7328,20
24,KINCADE,2019-10-23,2019-11-10,Powerline,77762.14,20
570,ILLILOUETTE CREEK,2017-09-12,2017-09-30,Lightning,0.07950435,20
256,GOOSE,2019-03-14,2019-04-01,Lightning,22.74746,20
487,STEELE,2017-07-26,2017-08-13,Lightning,45704.01,20
259,PILOT,2023-08-15,2023-09-02,Lightning,1055.172,20
425,MINERVA 5,2017-07-29,2017-08-16,Arson,4339.355,20
567,HARDIN,2017-07-25,2017-08-12,Lightning,0.09953451,20
278,DIXIE,2019-09-05,2019-09-22,Lightning,16.53279,19
269,INYO CREEK,2021-06-19,2021-07-06,Lightning,601.6085,19
296,HAMBONE,2021-08-06,2021-08-23,Lightning,50.69745,19
294,LAKIN,2021-08-06,2021-08-23,Lightning,20.79543,19
295,SOTTY'S,2013-05-20,2013-06-06,Powerline,15.23975,19
476,1-12,2020-08-24,2020-09-10,Lightning,946.5836,19
272,SUGAR,2019-05-10,2019-05-27,Lightning,64.90493,19
497,WEST,2017-07-27,2017-08-13,Lightning,63.96683,19
223,SNOWSTORM,2019-07-05,2019-07-21,Lightning,264.2747,18
554,LECONTE,2017-09-11,2017-09-27,Lightning,0.07920874,18
273,TITUS,2023-08-15,2023-08-31,Lightning,71.79534,18
217,MEYERS,2020-08-17,2020-09-02,Lightning,2360.251,18
40,SWEDES,2013-08-06,2013-08-22,Equipment Use,2462.24,18
355,GARZA,2017-07-09,2017-07-25,Vehicle,48886.66,18
392,SWAY,2017-08-01,2017-08-17,Equipment Use,16.94284,18
310,LONG VALLEY,2017-07-11,2017-07-27,Vehicle,83581.41,18
304,R-4 PARSNIP,2017-08-30,2017-09-15,Lightning,18601.98,18
282,JUNIPER,2021-07-05,2021-07-21,Lightning,882.0248,18
584,SHALE,2017-07-27,2017-08-12,Lightning,28.70875,18
173,CUTCA,2015-07-16,2015-08-01,Lightning,150.418,18
97,RICES,2022-06-28,2022-07-13,Structure,920.9178,17
65,WALKER,2022-09-01,2022-09-16,Vehicle,123.3361,17
114,S1 DUCK,2015-08-03,2015-08-18,Lightning,30.08999,17
394,WILLIE,2017-08-07,2017-08-22,Lightning,3140.1,17
125,TILTILL,2021-07-31,2021-08-15,Lightning,2348.53,17
276,SNOW,2022-06-17,2022-07-02,Campfire,24.0517,17
283,CREEK,2019-11-21,2019-12-06,Lightning,73.55267,17
364,BOYDEN 1,2021-03-03,2021-03-18,Debris,14.57344,17
234,FOX,2020-09-14,2020-09-28,Campfire,2027.554,16
270,IRON,2023-08-19,2023-09-02,Lightning,20.01698,16
47,ALAMO,2017-07-06,2017-07-20,Vehicle,28834.17,16
239,OLSEN,2015-07-30,2015-08-13,Lightning,400.2011,16
162,BRICEBURG,2019-10-06,2019-10-20,Vehicle,5508.35,16
32,WRAGG ,2015-07-22,2015-08-05,Vehicle,8049.334,16
15,HATHAWAY,2013-06-06,2013-06-20,Campfire,3779.732,16
109,DODGE,2015-08-03,2015-08-17,Equipment Use,10517.52,16
227,IRIS,2020-07-21,2020-08-04,Lightning,124.9983,16
137,IRONGATE,2019-06-16,2019-06-29,Smoking,9.695025,15
179,CLARKS,2013-05-12,2013-05-25,Lightning,65.45874,15
